numbest,Title,BoxOffice,imdbRating,Metascore
68,War Horse,"$79,884,879 ",7.2,72
76,Silver Linings Playbook,"$132,092,958 ",7.7,81
75,Lincoln,"$182,207,973 ",7.3,86
77,Zero Dark Thirty,"$95,720,716 ",7.4,95
74,Life of Pi,"$124,987,023 ",7.9,79
69,Amour,"$6,739,492 ",7.9,94
72,Django Unchained,"$162,805,434 ",8.4,81
70,Argo,"$136,025,503 ",7.7,86
73,Les Misérables,"$148,809,770 ",7.6,63
71,Beasts of the Southern Wild,"$12,795,746 ",7.3,86
78,American Hustle,"$150,117,807 ",7.2,90
79,Captain Phillips,"$107,100,855 ",7.8,82
80,Dallas Buyers Club,"$27,298,285 ",8,79
81,Gravity,"$274,092,705 ",7.7,96
83,Nebraska,"$17,654,912 ",7.7,87
84,Philomena,"$37,709,979 ",7.6,77
85,12 Years a Slave,"$56,671,993 ",8.1,96
86,The Wolf of Wall Street,"$116,900,694 ",8.2,75
82,Her,"$25,568,251 ",8,91
94,Whiplash,"$13,092,000 ",8.5,88
91,The Imitation Game,"$91,125,683 ",8,71
93,The Theory of Everything,"$35,893,537 ",7.7,71
92,Selma,"$52,076,908 ",7.5,80
90,The Grand Budapest Hotel,"$59,301,324 ",8.1,88
88,Birdman or (The Unexpected Virtue of Ignorance),"$42,340,598 ",7.7,87
87,American Sniper,"$350,159,020 ",7.3,72
89,Boyhood,"$25,352,281 ",7.9,100
95,The Big Short,"$70,259,870 ",7.8,81
96,Bridge of Spies,"$72,313,754 ",7.6,81
97,Brooklyn,"$38,322,743 ",7.5,88
98,Mad Max: Fury Road,"$154,109,060 ",8.1,90
99,The Martian,"$228,433,663 ",8,80
100,The Revenant,"$183,637,894 ",8,76
101,Room,"$14,677,654 ",8.1,86
102,Spotlight,"$45,055,776 ",8.1,93
111,Moonlight,"$27,854,932 ",7.4,99
110,Manchester by the Sea,"$47,695,371 ",7.8,96
109,Lion,"$51,738,905 ",8,69
108,La La Land,"$151,101,803 ",8,94
105,Hacksaw Ridge,"$67,209,615 ",8.1,71
106,Hell or High Water,"$27,007,844 ",7.6,88
104,Fences,"$57,682,904 ",7.2,79
103,Arrival,"$100,546,139 ",7.9,81
107,Hidden Figures,"$169,607,287 ",7.8,74
120,"Three Billboards Outside Ebbing, Missouri","$54,513,740 ",8.1,88
119,The Shape of Water,"$63,859,435 ",7.3,87
118,The Post,"$81,903,458 ",7.2,83
117,Phantom Thread,"$21,198,205 ",7.5,90
116,Lady Bird,"$48,958,273 ",7.4,93
115,Get Out,"$176,196,665 ",7.7,85
114,Dunkirk,"$189,740,665 ",7.8,94
113,Darkest Hour,"$56,468,410 ",7.4,75
112,Call Me by Your Name,"$18,095,701 ",7.9,93
127,A Star Is Born,"$215,333,122 ",7.6,88
128,Vice,"$47,836,282 ",7.2,61
126,Roma,N/A,7.7,96
125,Green Book,"$85,080,171 ",8.2,69
122,BlacKkKlansman,"$49,275,340 ",7.5,83
123,Bohemian Rhapsody,"$216,668,042 ",8,49
121,Black Panther,"$700,426,566 ",7.3,88
124,The Favourite,"$34,366,783 ",7.5,91
136,Once Upon a Time... In Hollywood,"$142,502,728 ",7.6,83
129,Ford v Ferrari,"$117,624,357 ",8.1,81
130,The Irishman,N/A,7.8,94
131,Jojo Rabbit,"$33,370,906 ",7.9,58
132,Joker,"$335,477,657 ",8.4,59
133,Little Women,"$108,101,214 ",7.8,91
134,Marriage Story,N/A,7.9,94
135,1917,"$159,227,644 ",8.3,78
137,Parasite,"$53,369,749 ",8.5,96
